Date/Time,Word Count,de-DE,en,es,fi-FI,fr-FR,it-IT,pt-PT,tr,tr-TR
2026.07.11-11.04.53,4119,0,4119,0,0,0,0,0,0,0
2026.07.11-11.25.38,4119,0,4119,0,0,0,0,0,4119,0
2026.07.11-12.27.18,4150,0,4150,0,0,0,0,0,4113,0
2026.07.11-12.31.18,4150,0,4150,0,0,0,0,0,4146,0
2026.07.11-12.32.28,4150,0,4150,0,0,0,0,0,4143,0
2026.07.11-12.34.18,4151,0,4151,0,0,0,0,0,4143,0
2026.07.11-12.37.36,4144,0,4144,0,0,0,0,0,4126,0
2026.07.11-13.27.08,4229,0,4229,0,0,0,0,0,4120,0
2026.07.11-14.20.39,4527,0,4527,0,0,0,0,0,3871,0
2026.07.11-14.31.56,4534,0,4534,0,0,0,0,0,3779,0
2026.07.11-15.19.43,4684,0,4684,0,0,0,0,0,3747,0
2026.07.11-16.55.49,4684,0,4684,0,0,0,0,0,0,0
2026.07.11-18.02.06,4684,4684,4684,0,0,0,0,0,0,4684
2026.07.11-18.20.57,4684,4684,4684,0,0,4684,0,0,0,4684
2026.07.11-18.23.21,4684,4684,4684,4684,0,4684,0,0,0,4684
2026.07.11-18.30.35,4684,4684,4684,4684,0,4684,4684,0,0,4684
2026.07.11-19.09.13,4684,4684,4684,4684,0,4684,4684,4684,0,4684
2026.07.11-19.22.15,4684,4684,4684,4684,4684,4684,4684,4684,0,4684
